Credit Note Number,Credit Note Reference,Credit From Bill,Billing Supplier,Supplier,Supplier Acc. No,Date,Description,Quantity,Unit Price,Net Amount,Tax Amount,Total Amount,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Purchase Account Code,Purchase Account,Tags,Created At,Finalized
37,3940357269,3940357057,REPCO Chinchilla,REPCO Chinchilla,"",02/06/2023,FREIGHT - Freight,1.0,22.73,22.73,2.273,25.0,FREIGHT,Freight,,,,,"",2023-06-06 15:26:31 +1000,Y
38,3940357203,3940357123,REPCO Chinchilla,REPCO Chinchilla,"",02/06/2023,DTS1073NS2 - DRIVETECH 4X4 STRUT NITRO,1.0,111.0,111.0,11.1,122.1,DTS1073NS2,DRIVETECH 4X4 STRUT NITRO,,,,,"",2023-06-06 15:27:20 +1000,Y
38,3940357203,3940357123,REPCO Chinchilla,REPCO Chinchilla,"",02/06/2023,DTS1074NS2 - DRIVETECH 4X4 STRUT NITRO,1.0,111.0,111.0,11.1,122.1,DTS1074NS2,DRIVETECH 4X4 STRUT NITRO,,,,,"",2023-06-06 15:27:20 +1000,Y
39,3940357268,3940357222,REPCO Chinchilla,REPCO Chinchilla,"",02/06/2023,KSM7199 - SUSPENSION MOUNTING KIT,1.0,66.0,66.0,6.6,72.6,KSM7199,SUSPENSION MOUNTING KIT,,,,,"",2023-06-06 15:28:04 +1000,Y
40,B27CRE14,,ENIRGI POWER STORAGE PTY LTD,ENIRGI POWER STORAGE PTY LTD,"",25/05/2023,MF64589 - MF64589 N120 BATTERY,1.0,192.37,192.37,19.237,211.61,MF64589,MF64589 N120 BATTERY,,,,,"",2023-06-08 09:40:13 +1000,Y
40,B27CRE14,,ENIRGI POWER STORAGE PTY LTD,ENIRGI POWER STORAGE PTY LTD,"",25/05/2023,MF95E41L - MF 95E41 L BATTERY,1.0,123.0,123.0,12.3,135.3,MF95E41L,MF 95E41 L BATTERY,,,,,"",2023-06-08 09:40:13 +1000,Y
40,B27CRE14,,ENIRGI POWER STORAGE PTY LTD,ENIRGI POWER STORAGE PTY LTD,"",25/05/2023,MF78-750,1.0,156.11,156.11,15.611,171.72,,,,,,,"",2023-06-08 09:40:13 +1000,Y
41,EC04434,ES947883,TYRES 4U,TYRES 4U,"",09/06/2023,93235 - NR-11.75x22.5 Demountable Steel 80 Offset Demountable Rim,1.0,179.22,179.22,17.922,197.14,93235,NR-11.75x22.5 Demountable Steel 80 Offset Demountable Rim,,,,,"",2023-06-13 18:09:33 +1000,Y
42,EC044361,ES950384,TYRES 4U,TYRES 4U,"",13/06/2023,35881 - 11R22.5 RR99 148/145 ALL POSITION CRC  DOUBLE COIN,18.0,330.65,5951.7,595.17,6546.87,35881,11R22.5 RR99 148/145 ALL POSITION CRC  DOUBLE COIN,,,,,"",2023-06-13 18:22:28 +1000,Y
43,EC044360,VS462788,TYRES 4U,TYRES 4U,"",13/06/2023,35881 - 11R22.5 RR99 148/145 ALL POSITION CRC  DOUBLE COIN,5.0,330.65,1653.25,165.325,1818.58,35881,11R22.5 RR99 148/145 ALL POSITION CRC  DOUBLE COIN,,,,,"",2023-06-13 18:26:30 +1000,Y
44,DB1333-4WD,3940356936,REPCO Chinchilla,REPCO Chinchilla,"",19/06/2023,DB1333-4WD - PAD SET-DISC BRAKE,1.0,84.0,84.0,8.4,92.4,DB1333-4WD,PAD SET-DISC BRAKE,,,,,"",2023-06-19 10:21:19 +1000,Y
45,3940358685,3940356935,REPCO Chinchilla,REPCO Chinchilla,"",19/06/2023,RRB084 - BOOT KIT - STEERING RACK,1.0,13.5,13.5,1.35,14.85,RRB084,BOOT KIT - STEERING RACK,,,,,"",2023-06-19 10:22:07 +1000,Y
46,3940358688,,REPCO Chinchilla,REPCO Chinchilla,"",19/06/2023,DBA629,1.0,119.0,119.0,11.9,130.9,,,,,,,"",2023-06-20 09:18:14 +1000,Y
47,3940358686,3940356840,REPCO Chinchilla,REPCO Chinchilla,"",19/06/2023,15-0519 - SHOCK SET-GT GAS-REFLEX 007,1.0,227.14,227.14,22.714,249.85,15-0519,SHOCK SET-GT GAS-REFLEX 007,,,,,"",2023-06-20 09:22:57 +1000,Y
48,,1X036318,TYRES 4U,TYRES 4U,"",31/05/2023,99948 - RIM 8.25 x 22.5 STONESTAR 10/285 MACHINED ALLOY,1.0,398.0,398.0,39.8,437.8,99948,RIM 8.25 x 22.5 STONESTAR 10/285 MACHINED ALLOY,,,,,"",2023-06-20 09:28:42 +1000,Y
48,,1X036318,TYRES 4U,TYRES 4U,"",31/05/2023,99948(1) - RIM 8.25 X 22.5 10/285 ALCOA DURA BRIGHT,1.0,720.0,720.0,72.0,792.0,99948(1),RIM 8.25 X 22.5 10/285 ALCOA DURA BRIGHT,,,,,"",2023-06-20 09:28:42 +1000,Y
48,,1X036318,TYRES 4U,TYRES 4U,"",31/05/2023,99948(2) - 275/70R22.5 HAULMAX ATT101 - 144/141M 16PR,3.0,410.0,1230.0,123.0,1353.0,99948(2),275/70R22.5 ATT101 - 144/141M 16PR HAULMAX,,,,,"",2023-06-20 09:28:42 +1000,Y
48,,1X036318,TYRES 4U,TYRES 4U,"",31/05/2023,98468 - TEN24 AH CALL OUT,1.0,345.0,345.0,34.5,379.5,98468,TEN24 AH CALL OUT,,,,,"",2023-06-20 09:28:42 +1000,Y
48,,1X036318,TYRES 4U,TYRES 4U,"",31/05/2023,98509 - TEN24 AH LABOUR,4.0,34.5,138.0,13.8,151.8,98509,TEN24 AH LABOUR,,,,,"",2023-06-20 09:28:42 +1000,Y
48,,1X036318,TYRES 4U,TYRES 4U,"",31/05/2023,98511 - TEN24 AH TYRE DISPOSAL,3.0,30.0,90.0,9.0,99.0,98511,TEN24 AH TYRE DISPOSAL,,,,,"",2023-06-20 09:28:42 +1000,Y
49,,SI45607,AUSSIE POWERSPORTS,AUSSIE POWERSPORTS,"",26/06/2023,WT122711-8PR-P36 - 27X11-12 ARMOR P3036 8 PLY,1.0,174.51,174.51,17.451,191.96,WT122711-8PR-P36,27X11-12 ARMOR P3036 8 PLY,,,,,"",2023-07-05 11:24:55 +1000,Y
49,,SI45607,AUSSIE POWERSPORTS,AUSSIE POWERSPORTS,"",26/06/2023,FREIGHT - Freight,1.0,29.95,29.95,2.995,32.95,FREIGHT,Freight,,,,,"",2023-07-05 11:24:55 +1000,Y
50,3940360877,3940360797,REPCO Chinchilla,REPCO Chinchilla,"",11/07/2023,R2619P - FUEL FILTER,1.0,20.25,20.25,2.025,22.28,R2619P,FUEL FILTER,,,,,"",2023-07-14 10:24:01 +1000,Y
51,EC044345,ES947883,TYRES 4U,TYRES 4U,"",09/06/2023,93235 - NR-11.75x22.5 Demountable Steel 80 Offset Demountable Rim,1.0,179.22,179.22,17.922,197.14,93235,NR-11.75x22.5 Demountable Steel 80 Offset Demountable Rim,,,,,"",2023-08-15 14:50:21 +1000,Y
52,3940364277,3940364260,REPCO Chinchilla,REPCO Chinchilla,"",15/08/2023,GFS516 - FILTER KIT 750E/F L/CRUISER 5SP,1.0,56.0,56.0,5.6,61.6,GFS516,FILTER KIT 750E/F L/CRUISER 5SP,,,,,"",2023-08-18 10:36:20 +1000,Y
53,EC044530,ES960007,TYRES 4U,TYRES 4U,"",25/08/2023,B1ABB123 - 445/65R22.5 Adv GLR30 169F,1.0,881.25,881.25,88.125,969.38,B1ABB123,445/65R22.5 Adv GLR30 169F,,,,,"",2023-08-29 17:18:46 +1000,Y
54,EC044561,,TYRES 4U,TYRES 4U,"",01/09/2023,11004119 - 215/75R17.5 RT1 135/133K B/STONE,6.0,505.93,3035.58,303.558,3339.14,11004119,215/75R17.5 RT1 135/133K B/STONE,,,,,"",2023-09-04 17:11:55 +1000,Y
55,EC044562,ES932679,TYRES 4U,TYRES 4U,"",01/09/2023,11004121 - 235/75R17.5 BS RT1 143/141J,10.0,523.1,5231.0,523.1,5754.1,11004121,235/75R17.5 RT1 143/141J B/STONE,,,,,"",2023-09-04 17:13:52 +1000,Y
56,EC044599,,TYRES 4U,TYRES 4U,"",18/09/2023,93257 - 8.25 X 22.5 10/285 STEEL RIM,1.0,150.0,150.0,15.0,165.0,93257,8.25 X 22.5 10/285 STEEL RIM,,,,,"",2023-09-19 16:59:17 +1000,Y
57,731180,,TOOWOOMBA TRUCK SPARES,TOOWOOMBA TRUCK SPARES,"",05/02/2024,82233443 - RHS Mack Door Window Ecteric,1.0,160.25,160.25,16.025,176.28,82233443,RHS Mack Door Window Ecteric,,,,,"",2024-02-05 09:02:25 +1000,Y
57,731180,,TOOWOOMBA TRUCK SPARES,TOOWOOMBA TRUCK SPARES,"",05/02/2024,82233450 - LHS Mack Door Window Ecteric,1.0,165.23,165.23,16.523,181.75,82233450,LHS Mack Door Window Ecteric,,,,,"",2024-02-05 09:02:25 +1000,Y
58,3940379364,,REPCO Chinchilla,REPCO Chinchilla,"",02/02/2024,A1350 - Filter element air,1.0,55.5,55.5,5.55,61.05,A1350,Filter element air,,,,,"",2024-02-05 09:39:54 +1000,Y
59,3940380623,3940380255,REPCO Chinchilla,REPCO Chinchilla,"",16/02/2024,RDKLC30 - Repco diesel filter kit,1.0,252.0,252.0,25.2,277.2,RDKLC30,Repco diesel filter kit,,,,,"",2024-02-16 13:36:12 +1000,Y
