PO Number,PO Status,Supplier,Creditor,Date,Due Date,Description,Category,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Brand,Stock Name,Stock Barcode,Job Number
PO100051,paid,REPCO Chinchilla,,18/03/2024,,R380LL - 12V 21/5W P21/5W Bayonet BAY15D,Parts,0.75,20.0,15.0,1.5,16.5,Y,R380LL,,12V 21/5W P21/5W Bayonet BAY15D,,
PO100052,paid,TOP TYRES AUSTRAILIA PTY LTD,,18/03/2024,,K2657017628121S - 265/70/17 LT 121S TL KR-628 KLEVER AT2 KENDA,4WD Tyres,182.0,3.0,546.0,54.6,600.6,Y,K2657017628121S,KENDA,265/70/17 LT 121S TL KR-628 KLEVER AT2 KENDA,,
PO100053,paid,Trailers R Us,,18/03/2024,,SRR7C - ROCKER ROLLER SPRINGS 7 LEAF (SET OF 2) 3000KG-60MM- SUIT,Mechanical,381.8181818181818,1.0,381.818181818181818182,38.1818181818181818182,420.0,Y,SRR7C,,ROCKER ROLLER SPRINGS 7 LEAF (SET OF 2) 3000KG-60MM- SUIT,,
PO100053,paid,Trailers R Us,,18/03/2024,,UBS50X175M16G - U BOLTS SQUARE 2'' X 7'M16 5/8'GALVANISED,Mechanical,6.954545454545454,8.0,55.636363636363636364,5.5636363636363636364,61.2,Y,UBS50X175M16G,,U BOLTS SQUARE 2'' X 7'M16 5/8'GALVANISED,,
PO100053,paid,Trailers R Us,,18/03/2024,,FPS60X10-58 - FISH PLATE SLOTTED SUIT 60MM WIDE SPRING,Mechanical,8.136363636363635,4.0,32.545454545454541818181818182,3.2545454545454541818181818182,35.8,Y,FPS60X10-58,,FISH PLATE SLOTTED SUIT 60MM WIDE SPRING,,
PO100053,paid,Trailers R Us,,18/03/2024,,AP50X45X10 - AXLE PADS 50X10MM,Mechanical,2.0454545454545454,4.0,8.181818181818181819,0.8181818181818181819,9.0,Y,AP50X45X10,,AXLE PADS 50X10MM,,
PO100053,paid,Trailers R Us,,18/03/2024,,JW8SUHD - 8 HEAVY DUTY JOCKEY WHEEL 500KG - 8 HOLE,Mechanical,122.72727272727272,1.0,122.727272727272727273,12.2727272727272727273,135.0,Y,JW8SUHD,,8 HEAVY DUTY JOCKEY WHEEL 500KG - 8 HOLE,,
PO100053,paid,Trailers R Us,,18/03/2024,,FREIGHT - Freight,,181.82,1.0,181.82,18.182,200.0,Y,FREIGHT,,Freight,,
PO100054,paid,EXCLUSIVE TYRES,,18/03/2024,,"",,0.0,1.0,0.0,0.0,0.0,Y,,,,,
PO100054,paid,EXCLUSIVE TYRES,,18/03/2024,,593142 - Coper 265/65R17 116H XL ATT,4WD Tyres,213.91,2.0,427.82,42.782,470.6,Y,593142,cooper,Coper 265/65R17 116H XL ATT,,
